id,name,price,category,description,image,available,modifier_groups,tags
8099,SASHIMI 5 THON 5 SAUMON avec bol de riz,18.72,Sashimi,,https://www.sushi-aixsud.com/330-large_default/sashimi-5-thon-5-saumon-lrriz-bio.jpg,true,,[]
8100,10 SASHIMI MIX avec bol de riz,16.53,Sashimi,,https://www.sushi-aixsud.com/718-large_default/10-sashimi-mixriz-bio.jpg,true,,[]
8106,Temaki Thon Avocat Sesame,5.99,Maki et rolls,,https://www.sushi-aixsud.com/321-large_default/temaki-thon-avocat-sesame.jpg,true,,[]
8107,Temaki Crabe Avocat Sesame,5.99,Maki et rolls,,https://www.sushi-aixsud.com/322-large_default/temaki-crabe-avocat-sesame.jpg,true,,[]
8108,Temaki Anguille Avocat Sesame,5.99,Maki et rolls,,https://www.sushi-aixsud.com/323-large_default/temaki-anguille-avocat-sesame.jpg,true,,[]
8109,Temaki Crevette Avocat Sesame,5.99,Maki et rolls,,https://www.sushi-aixsud.com/324-large_default/temaki-crevette-avocat-sesame.jpg,true,,[]
8115,10 Sushi Saumon LR,16.06,Sushi,,https://www.sushi-aixsud.com/562-large_default/10-sushi-saumon-lr.jpg,true,,[]
8117,5 Sushi Saumon - 5 Sushi Crevette,17.67,Sushi,,https://www.sushi-aixsud.com/328-large_default/5-sushi-saumon-5-sushi-crevette.jpg,true,,[]
8126,Sauce soja salée - sachet de 15 ml,0.29,Extras,,https://www.sushi-aixsud.com/878-large_default/sauce-salee-10-ml.jpg,true,,[]
8136,6 SUSHI SAUMON,9.79,Sushi,,https://www.sushi-aixsud.com/363-large_default/6-sushi-saumon.jpg,true,,[]
8137,3 Sushi Thon 3 saumon,10.74,Sushi,,https://www.sushi-aixsud.com/364-large_default/3-sushi-thon-3-saumon.jpg,true,,[]
8139,3 Sushi Daurade 3 saumon,10.74,Sushi,,https://www.sushi-aixsud.com/366-large_default/3-sushi-crevette-3-saumon.jpg,true,,[]
8140,6 Sashimi Saumon et bol de riz,9.79,Sashimi,,https://www.sushi-aixsud.com/367-large_default/6-sashimi-saumon-et-bol-de-riz.jpg,true,,[]
